Vehicle_ID,Make_and_Model,Year_of_Manufacture,Usage_Hours,Load_Capacity,Actual_Load,Last_Maintenance_Date,Maintenance_Cost,Engine_Temperature,Tire_Pressure,Fuel_Consumption,Battery_Status,Vibration_Levels,Oil_Quality,Failure_History,Anomalies_Detected,Predictive_Score,Maintenance_Required,Delivery_Times,Downtime_Maintenance,Impact_on_Efficiency,Vehicle_Type_Van,Route_Info_rural,Route_Info_urban,Maintenance_Type_oil change,Maintenance_Type_tire rotation,Brake_Condition_good,Brake_Condition_other,Brake_Condition_poor,Weather_Conditions_other,Weather_Conditions_rainy,Weather_Conditions_snowy,Weather_Conditions_windy,Road_Conditions_other,Road_Conditions_rural,Road_Conditions_urban,Make_ford,Make_tesla,Make_volvo,Model_fh,Model_semi,Model_silverado,Service_Year,Service_Month,Service_DayOfWeek,Days_Since_Last_Service,Recent_Service_90d,Load_Utilization
1,ford f150,1.0,0.018946164295417175,0.0340685024218748,0.041133768069335386,2023-04-09,0.0017229026561960924,0.0,0.0,0.0,0.0,0.050954147263394686,0.682216289264067,1.0,0.0,0.24346261126468074,1.0,0.0,0.0010559656784365648,0.06925715629867149,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2023,4,6,448,0,1.0
2,volvo fh,0.5882352941176521,0.3817473368127547,0.03468882215297168,0.02791940121735605,2023-07-20,0.028125181932057486,0.0,0.0,0.0,0.0,0.01928236885211155,0.8590274131829575,1.0,0.0,0.3500232742030501,1.0,0.0,0.03792621836636173,0.3361885905028603,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2023,7,3,346,0,0.8048529608251425
3,chevy silverado,1.0,0.1494602130549796,0.013116494491664377,0.013730702062270466,2023-03-17,0.05297667156788101,0.0,1.0,0.5337927985603095,1.0,0.11307883967120995,0.5155171398150923,1.0,1.0,0.647160818490369,1.0,0.06899193764938409,0.01540541050844178,0.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023,3,4,471,0,1.0
4,chevy silverado,0.3529411764705941,0.10631300493315221,0.07186665701172897,0.0860017379429935,2024-05-01,0.05833865010656633,0.0,0.0,0.0,0.0,0.06804925435822921,0.5936932249880092,0.0,1.0,0.08437695352482628,1.0,0.0,0.0,0.049455504496936004,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024,5,2,60,1,1.0
5,ford f150,0.529411764705884,0.09076285121898907,0.2743373271721328,0.29971950238405476,2023-11-15,0.06422681352590055,0.0,1.0,0.0,1.0,0.08942191413338674,0.7788737965729654,1.0,1.0,0.3760364802282108,1.0,1.0,0.07456952786530184,0.4083692301748909,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2023,11,2,228,0,1.0
6,ford f150,1.0,0.0828984056624008,0.025929189575932602,0.02237212051198044,2023-07-13,0.042864763630996686,0.0,0.0,1.0,0.0,0.13428781537059103,0.6721574993238507,1.0,0.0,0.09105513150772004,1.0,0.0,0.04735487285586606,0.15854547787457338,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2023,7,3,353,0,0.8628160338935613
7,ford f150,0.1176470588235361,0.08722385071852434,0.20165510022666114,0.15702856610664184,2023-10-29,0.05309109716400273,0.0,1.0,0.11662880557052907,0.0,0.046378862761614875,0.7224711792102197,1.0,0.0,0.37254621349792905,1.0,0.0,0.07867100312036637,0.019059016807095736,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2023,10,6,245,0,0.778698708488608
8,tesla semi,0.941176470588232,0.24218917566311576,0.10187174146705769,0.09032296420801213,2023-10-22,0.027904854186381618,0.0,1.0,0.0,0.0,0.09097842437640712,0.6117996440000787,0.0,0.0,0.23412598712276297,0.0,0.4060233831411189,0.0,0.11673365957697682,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2023,10,6,252,0,0.8866341431614763
9,chevy silverado,0.941176470588232,0.04168156144991778,0.05154774778226395,0.0371180436997891,2024-03-29,0.5777627908722763,0.0,0.0,0.5377149924786362,0.0,0.04293846881721931,0.6693170586196834,0.0,0.0,0.535042570930084,0.0,0.19069054301995597,0.0,0.37805926875155493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024,3,4,93,0,0.7200711048826912
10,chevy silverado,1.0,0.03664116679774076,0.4482813486314574,0.4772392387285859,2023-06-05,0.0012388307948604897,0.0,1.0,1.0,1.0,0.013911234302924734,0.5789608739225968,0.0,1.0,0.1505423962070959,1.0,0.805014976880017,0.0,0.2262850246376301,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2023,6,0,391,0,1.0
11,ford f150,1.0,0.12533066418817473,0.020882020019067762,0.023547167915860468,2023-01-13,0.8347936611196113,0.0,0.0,0.27476586515498885,0.337552708796208,0.27661577446584595,0.3766066761862331,1.0,1.0,0.46719519560477385,1.0,0.08825957749291745,0.013273572029711349,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2023,1,4,534,0,1.0
12,volvo fh,0.8823529411764781,0.08772431543576178,0.2770808063433534,0.264493546047953,2023-04-02,0.012382623528165358,0.0,0.06631352582615502,0.035018469119178885,0.0,0.04829466671213784,0.3923862053049577,0.0,0.0,0.17578423789747724,1.0,0.0,0.0,0.023309538790072054,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,2023,4,6,455,0,0.954571879367918
13,tesla semi,0.941176470588232,0.0426109959247873,0.027189136618687465,0.02751004119729966,2024-03-16,0.008214093471923634,0.0,0.5415208702355905,0.0,0.0,0.011771599489391887,0.5220654757420183,0.0,0.0,0.053427012847770745,1.0,0.047395401428400305,0.0,0.23346934234979042,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2024,3,5,106,0,1.0
14,ford f150,0.29411764705882604,0.12919139200686353,0.03466765455844912,0.02566051335254016,2024-01-05,0.04600689759759791,0.0,1.0,0.38301789233693656,0.0,0.10165172584039199,0.6546313999247665,1.0,0.0,0.1425709494686731,1.0,0.7964751598630617,0.1022680667070109,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2024,1,4,177,0,0.7401860229476136
15,ford f150,0.4117647058823479,0.07464073782798313,0.16729381383731853,0.20114994107600642,2023-02-14,0.02890619505911058,0.0,0.0,0.0,0.0,0.17917250264075577,0.6219228142583854,0.0,0.0,0.35948928699769545,0.0,0.18508991652758777,0.0,0.062013690143279454,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2023,2,1,502,0,1.0
16,ford f150,0.8823529411764781,0.07274612139844142,0.09756650611317258,0.09446574159057348,2024-03-21,0.04086188138403667,0.0,0.0,0.7803327172565291,0.0,0.02973240581315683,0.8118551025916169,0.0,0.0,0.3662419025117768,1.0,0.0,0.0,0.014485524819324497,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2024,3,3,101,0,0.968218965235853
